,Date,Age,Injury Type,Vehicle Type,Street,Detailed Street,City,Address,Link,location,lat,long,Age Range,WKT,Injury Type_eng
34,2018-09-12,30.0,קשה,אופניים חשמליים?,רמת גן,הראה פינת חד נס,הראה,"רמת גן, הראה",https://www.srugim.co.il/277599-%D7%A2%D7%A3-10-%D7%9E%D7%98%D7%A8%D7%99%D7%9D-%D7%A8%D7%95%D7%9B%D7%91-%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D-%D7%A0%D7%A4%D7%A6%D7%A2-%D7%A7%D7%A9%D7%94-%D7%9E%D7%A4%D7%92%D7%99%D7%A2%D7%AA,"חיבת ציון/הרא''ה, חיבת ציון, הלל, מרום נווה, רמת גן, מחוז תל אביב, NO, ישראל",32.079233,34.825057,21 to 30,Point (34.82395399 32.06592444),Severe
35,2018-09-13,50.0,בינוני,אופניים חשמליים,פתח תקווה,,הברון הירש,"פתח תקווה, הברון הירש",http://mynetpetahtikva.co.il/article/315099/5,"פינסקר / הברון הירש, פינסקר, קרול, פתח תקווה, מחוז המרכז, NO, ישראל",32.090754,34.884491,40 to 50,Point (34.884491 32.090754),Moderate
36,2018-09-13,15.0,בינוני,אופניים חשמליים,לוד,,,"לוד, ",http://www.maariv.co.il/breaking-news/Article-661125,"לוד, מחוז המרכז, ישראל",31.9489012,34.8884857,11 to 20,Point (34.8884857 31.9489012),Moderate
37,2018-09-15,14.0,בינוני,אופניים חשמליים,אשקלון,,אלי כהן,"אשקלון, אלי כהן",http://www.maariv.co.il/breaking-news/Article-661274,"אלי כהן, אשכולי פז, אשקלון, מחוז הדרום, NO, ישראל",31.666406,34.5648758,11 to 20,Point (34.5648758 31.666406),Moderate
38,2018-09-16,15.0,בינוני,אופניים חשמליים,אשדוד,,הציונות,"אשדוד, הציונות",https://www.kan-ashdod.co.il/law/39565,"הציונות, רובע הקריה, אשדוד, מחוז הדרום, NO, ישראל",31.7848825,34.6414328,11 to 20,Point (34.6414328 31.7848825),Moderate
39,2018-09-16,17.0,בינוני-קשה,אופניים חשמליים,אשדוד,,הציונות,"אשדוד, הציונות",https://www.kan-ashdod.co.il/law/39565,"הציונות, רובע הקריה, אשדוד, מחוז הדרום, NO, ישראל",31.7848825,34.6414328,11 to 20,Point (34.6414328 31.7848825),Serious
40,2018-09-16,14.0,בינוני,אופניים חשמליים,פתח תקווה,,אם המושבות,"פתח תקווה, אם המושבות",http://mynetpetahtikva.co.il/article/315327/7,"אם המושבות, אזור התעשייה קריית אריה, פתח תקווה, מחוז המרכז, NO, ישראל",32.1026101,34.863928,11 to 20,Point (34.863928 32.1026101),Moderate
41,2018-09-17,30.0,קשה,אופניים חשמליים,פתח תקווה,,אם המושבות,"פתח תקווה, אם המושבות",https://www.0404.co.il/?p=248103,"אם המושבות, אזור התעשייה קריית אריה, פתח תקווה, מחוז המרכז, NO, ישראל",32.1026101,34.863928,21 to 30,Point (34.863928 32.1026101),Severe
42,2018-09-20,15.0,בינוני,אופניים חשמליים,אשדוד,,הציונות,"אשדוד, הציונות","http://www.local.co.il/document/52,76,156445.aspx","הציונות, רובע הקריה, אשדוד, מחוז הדרום, NO, ישראל",31.7848825,34.6414328,11 to 20,Point (34.6414328 31.7848825),Moderate
43,2018-09-22,11.0,בינוני,אופניים חשמליים,אלעד,,יוסף קארו,"אלעד, יוסף קארו",http://www.ch10.co.il/news/459401/,"רבי יוסף קארו, אלעד, מחוז המרכז, NO, ישראל",32.0489389,34.9652485,11 to 20,Point (34.9652485 32.0489389),Moderate
44,2018-09-24,16.0,בינוני,אופניים,סח'נין,,,"סח'נין, ",http://www.maariv.co.il/breaking-news/Article-662363,"سخنين, מחוז הצפון, ישראל",32.8638052,35.3023184,11 to 20,Point (35.3023184 32.8638052),Moderate
45,2018-09-24,16.0,הרוג,אופניים חשמליים,תל אביב,,שדרות רוקח,"תל אביב, שדרות רוקח","https://www.ynet.co.il/articles/0,7340,L-5356969,00.html","שדרות רוקח, תל אביב - יפו, כוכב הצפון, תל אביב-יפו, מחוז תל אביב, NO, ישראל",32.0986296,34.7811706,11 to 20,Point (34.7811706 32.0986296),Death
46,2018-09-24,16.0,בינוני,אופניים חשמליים,תל אביב,,שדרות רוקח,"תל אביב, שדרות רוקח","https://www.ynet.co.il/articles/0,7340,L-5356969,00.html","שדרות רוקח, תל אביב - יפו, כוכב הצפון, תל אביב-יפו, מחוז תל אביב, NO, ישראל",32.0986296,34.7811706,11 to 20,Point (34.7811706 32.0986296),Moderate
47,2018-09-27,17.0,קל,אופניים חשמליים,בת ים,בלפור פינת יצחק שדה,בלפור,"בת ים, בלפור",https://www.hashikma-batyam.co.il/news/6350/,"בלפור, בת ים, שיכון ותיקים, בת ים, מחוז תל אביב, NO, ישראל",32.0224339,34.7454766,11 to 20,Point (34.74188256 32.01126345),Minor
48,2018-09-27,21.0,בינוני,אופניים חשמליים,בני ברק,,הרב אהרונסון,"בני ברק, הרב אהרונסון",https://www.0404.co.il/?p=254434,"הרב אהרונסון/דוד פנקס, אהרונסון, הר שלום, בני ברק, מחוז תל אביב, NO, ישראל",32.081032,34.827542,21 to 30,Point (34.827542 32.081032),Moderate
49,2018-09-28,30.0,קשה,אופניים,אפרת-אלעזר,,כביש 60,"אפרת-אלעזר, כביש 60",http://www.maariv.co.il/breaking-news/Article-662984,None,32.0,34.0,21 to 30,Point (35.14664691 31.65868215),Severe
50,2018-09-30,21.0,קשה,אופניים חשמליים,ראשון לציון,,ירושלים,"ראשון לציון, ירושלים","https://www.mivzaklive.co.il/archives/207999; http://www.local.co.il/document/52,93,156594.aspx","ראשון לציון, מחוז המרכז, ישראל",31.9635712,34.8101149,21 to 30,Point (34.8101149 31.9635712),Severe
51,2018-10-02,35.0,בינוני,אופניים חשמליים,אשקלון,,התחייה,"אשקלון, התחייה",https://www.mivzaklive.co.il/archives/208169,"התחיה, אזור התעשיה הקלה, אשקלון, מחוז הדרום, NO, ישראל",31.6549871,34.584551,30 to 40,Point (34.584551 31.6549871),Moderate
52,2018-10-03,16.0,בינוני,אופניים חשמליים,שדרות,,,"שדרות, ",https://www.0404.co.il/?p=258460,"שדרות, מחוז הדרום, ישראל",31.526474,34.5969679,11 to 20,Point (34.5969679 31.526474),Moderate
53,2018-10-05,36.0,בינוני,אופניים חשמליים,ראשון לציון,,דוד סחרוב,"ראשון לציון, דוד סחרוב",https://www.hashikma-rishon.co.il/news/14850,"דוד סחרוב, אזור תעשייה חדש, נווה דקלים, ראשון לציון, מחוז המרכז, NO, ישראל",31.9931478,34.7666658,30 to 40,Point (34.7666658 31.9931478),Moderate
